,full_name,team_name,season
696,Ledley King,Tottenham,1999
697,Ledley King,England,1999
698,Mark Gower,Tottenham,1999
699,Mark Gower,England,1999
700,Simon Davies,Tottenham,1999
701,Simon Davies,Wales,1999
702,Anthony Gardner,Tottenham,1999
703,Anthony Gardner,England,1999
704,John Piercy,Tottenham,1999
705,John Piercy,England,1999
706,Alton Thelwell,Tottenham,1999
707,Alton Thelwell,England,1999
708,Steve Harper,Newcastle,1999
709,Steve Harper,England,1999
710,Warren Barton,Newcastle,1999
711,Warren Barton,England,1999
712,Aaron Hughes,Newcastle,1999
713,Aaron Hughes,Northern Ireland,1999
714,Nikolaos Dabizas,Newcastle,1999
715,Nikolaos Dabizas,Greece,1999
716,Alessandro Pistone,Newcastle,1999
717,Alessandro Pistone,Italy,1999
718,Nolberto Solano,Newcastle,1999
719,Nolberto Solano,Peru,1999
720,Rob Lee,Newcastle,1999
721,Rob Lee,England,1999
722,Kieron Dyer,Newcastle,1999
723,Kieron Dyer,England,1999
724,Gary Speed,Newcastle,1999
725,Gary Speed,Wales,1999
726,Duncan Ferguson,Newcastle,1999
727,Duncan Ferguson,Scotland,1999
728,Alan Shearer,Newcastle,1999
729,Alan Shearer,England,1999
730,Stephen Glass,Newcastle,1999
731,Stephen Glass,Scotland,1999
732,Kevin Gallacher,Newcastle,1999
733,Kevin Gallacher,Scotland,1999
734,Alain Goma,Newcastle,1999
735,Alain Goma,France,1999
736,Didier Domi,Newcastle,1999
737,Didier Domi,France,1999
738,Temur Ketsbaia,Newcastle,1999
739,Temur Ketsbaia,Georgia,1999
740,Tommy Wright,Newcastle,1999
741,Tommy Wright,Northern Ireland,1999
742,Jamie McClen,Newcastle,1999
743,Jamie McClen,England,1999
744,Paul Robinson,Newcastle,1999
745,Paul Robinson,England,1999
746,Laurent Charvet,Newcastle,1999
747,Laurent Charvet,France,1999
748,Franck Dumas,Newcastle,1999
749,Franck Dumas,France,1999
750,Fumaça,Newcastle,1999
751,Fumaça,Brazil,1999
752,Diego Gavilán,Newcastle,1999
753,Diego Gavilán,Paraguay,1999
754,Shay Given,Newcastle,1999
755,Shay Given,Ireland,1999
756,Andy Griffin,Newcastle,1999
757,Andy Griffin,England,1999
758,Hélder Cristóvão,Newcastle,1999
759,Hélder Cristóvão,Portugal,1999
760,Steve Howey,Newcastle,1999
761,Steve Howey,England,1999
762,John Karelse,Newcastle,1999
763,John Karelse,Netherlands,1999
764,Marcelino,Newcastle,1999
765,Marcelino,Spain,1999
766,Silvio Maric,Newcastle,1999
767,Silvio Maric,Croatia,1999
